frame_id,evidence_id,captured_at,device_type,raw_len,header_len,declared_len,payload_hex,payload_crc_hex,header_crc_valid,payload_crc_valid,packet_type,packet_type_name,sequence,command_or_event,parsed_payload_json,parser_version,warnings_json
ios.A86A3216-7FBE-0190-B03D-B3E8F6D7C687.1780453008729.0.aa10005730011700.frame.0,ios.A86A3216-7FBE-0190-B03D-B3E8F6D7C687.1780453008729.0.aa10005730011700,2026-06-03T02:16:48.729Z,GEN_4,20,4,16,3001170065e0e10110780000,1232281a,true,true,48,EVENT,1,23,"{""kind"":""event"",""event_id"":23,""event_name"":null,""timestamp_seconds"":31580261,""timestamp_subseconds"":30736,""data_offset"":12,""data_hex"":"""",""warnings"":[]}",goose-swift/live-notification,[]
ios.A86A3216-7FBE-0190-B03D-B3E8F6D7C687.1780453082707.0.aa1c00ab302b0100.frame.0,ios.A86A3216-7FBE-0190-B03D-B3E8F6D7C687.1780453082707.0.aa1c00ab302b0100,2026-06-03T02:18:02.707Z,GEN_4,32,4,28,302b0100afe0e101806d0c00010005020e00000000000000,94de7e12,true,true,48,EVENT,43,1,"{""kind"":""event"",""event_id"":1,""event_name"":""ERROR"",""timestamp_seconds"":31580335,""timestamp_subseconds"":28032,""data_offset"":12,""data_hex"":""010005020e00000000000000"",""warnings"":[]}",goose-swift/live-notification,[]
ios.A86A3216-7FBE-0190-B03D-B3E8F6D7C687.1780453135388.0.aa1c00ab302f1d00.frame.0,ios.A86A3216-7FBE-0190-B03D-B3E8F6D7C687.1780453135388.0.aa1c00ab302f1d00,2026-06-03T02:18:55.388Z,GEN_4,32,4,28,302f1d00e4e0e101d0500c008d03000006006e000b000100,ecc4bcba,true,true,48,EVENT,47,29,"{""kind"":""event"",""event_id"":29,""event_name"":""STRAP_CONDITION_REPORT"",""timestamp_seconds"":31580388,""timestamp_subseconds"":20688,""data_offset"":12,""data_hex"":""8d03000006006e000b000100"",""warnings"":[]}",goose-swift/live-notification,[]
ios.A86A3216-7FBE-0190-B03D-B3E8F6D7C687.1780453311427.0.aa2400fa30350300.frame.0,ios.A86A3216-7FBE-0190-B03D-B3E8F6D7C687.1780453311427.0.aa2400fa30350300,2026-06-03T02:21:51.427Z,GEN_4,40,4,36,3035030094e1e10160491400026c0000006d0e00000000280c00000402000000,9c856362,true,true,48,EVENT,53,3,"{""kind"":""event"",""event_id"":3,""event_name"":""BATTERY_LEVEL"",""timestamp_seconds"":31580564,""timestamp_subseconds"":18784,""data_offset"":12,""data_hex"":""026c0000006d0e00000000280c00000402000000"",""warnings"":[]}",goose-swift/live-notification,[]
ios.A86A3216-7FBE-0190-B03D-B3E8F6D7C687.1780453311547.0.aa2c005230363f00.frame.0,ios.A86A3216-7FBE-0190-B03D-B3E8F6D7C687.1780453311547.0.aa2c005230363f00,2026-06-03T02:21:51.547Z,GEN_4,48,4,44,30363f0094e1e10168491c000139f94cff6d0e0d010200f200e803280c0000040200001a00000000,cd93ab48,true,true,48,EVENT,54,63,"{""kind"":""event"",""event_id"":63,""event_name"":""EXTENDED_BATTERY_INFORMATION"",""timestamp_seconds"":31580564,""timestamp_subseconds"":18792,""data_offset"":12,""data_hex"":""0139f94cff6d0e0d010200f200e803280c0000040200001a00000000"",""warnings"":[]}",goose-swift/live-notification,[]
ios.A86A3216-7FBE-0190-B03D-B3E8F6D7C687.1780453645088.0.aa10005730421500.frame.0,ios.A86A3216-7FBE-0190-B03D-B3E8F6D7C687.1780453645088.0.aa10005730421500,2026-06-03T02:27:25.088Z,GEN_4,20,4,16,30421500e2e2e10198280000,4fb047db,true,true,48,EVENT,66,21,"{""kind"":""event"",""event_id"":21,""event_name"":null,""timestamp_seconds"":31580898,""timestamp_subseconds"":10392,""data_offset"":12,""data_hex"":"""",""warnings"":[]}",goose-swift/live-notification,[]
ios.A86A3216-7FBE-0190-B03D-B3E8F6D7C687.1780453674429.0.aa2400fa30490300.frame.0,ios.A86A3216-7FBE-0190-B03D-B3E8F6D7C687.1780453674429.0.aa2400fa30490300,2026-06-03T02:27:54.429Z,GEN_4,40,4,36,30490300ffe2e101784f14000273000000a30e000001011a0d00000402000000,b5bc53b4,true,true,48,EVENT,73,3,"{""kind"":""event"",""event_id"":3,""event_name"":""BATTERY_LEVEL"",""timestamp_seconds"":31580927,""timestamp_subseconds"":20344,""data_offset"":12,""data_hex"":""0273000000a30e000001011a0d00000402000000"",""warnings"":[]}",goose-swift/live-notification,[]
ios.A86A3216-7FBE-0190-B03D-B3E8F6D7C687.1780453734429.0.aa2400fa309f0300.frame.0,ios.A86A3216-7FBE-0190-B03D-B3E8F6D7C687.1780453734429.0.aa2400fa309f0300,2026-06-03T02:28:54.429Z,GEN_4,40,4,36,309f03003be3e101604f1400027b000000a80e000001010c0e00000302000000,0034c92b,true,true,48,EVENT,159,3,"{""kind"":""event"",""event_id"":3,""event_name"":""BATTERY_LEVEL"",""timestamp_seconds"":31580987,""timestamp_subseconds"":20320,""data_offset"":12,""data_hex"":""027b000000a80e000001010c0e00000302000000"",""warnings"":[]}",goose-swift/live-notification,[]
ios.A86A3216-7FBE-0190-B03D-B3E8F6D7C687.1780453737429.0.aa1c00ab30a41d00.frame.0,ios.A86A3216-7FBE-0190-B03D-B3E8F6D7C687.1780453737429.0.aa1c00ab30a41d00,2026-06-03T02:28:57.429Z,GEN_4,32,4,28,30a41d003ee3e10158540c009c03000007007b000b010100,d5aea421,true,true,48,EVENT,164,29,"{""kind"":""event"",""event_id"":29,""event_name"":""STRAP_CONDITION_REPORT"",""timestamp_seconds"":31580990,""timestamp_subseconds"":21592,""data_offset"":12,""data_hex"":""9c03000007007b000b010100"",""warnings"":[]}",goose-swift/live-notification,[]
ios.A86A3216-7FBE-0190-B03D-B3E8F6D7C687.1780453794430.0.aa2400fa30ad0300.frame.0,ios.A86A3216-7FBE-0190-B03D-B3E8F6D7C687.1780453794430.0.aa2400fa30ad0300,2026-06-03T02:29:54.430Z,GEN_4,40,4,36,30ad030077e3e101f84f14000283000000b50e000001013a0e00000202000000,ae80756a,true,true,48,EVENT,173,3,"{""kind"":""event"",""event_id"":3,""event_name"":""BATTERY_LEVEL"",""timestamp_seconds"":31581047,""timestamp_subseconds"":20472,""data_offset"":12,""data_hex"":""0283000000b50e000001013a0e00000202000000"",""warnings"":[]}",goose-swift/live-notification,[]
