timeline_id,frame_id,evidence_id,captured_at,category,title,packet_type_name,sequence,command_or_event,device_timestamp_seconds,device_timestamp_subseconds,body_hex,summary,warnings
ios.A86A3216-7FBE-0190-B03D-B3E8F6D7C687.1780453008729.0.aa10005730011700.frame.0.timeline,ios.A86A3216-7FBE-0190-B03D-B3E8F6D7C687.1780453008729.0.aa10005730011700.frame.0,ios.A86A3216-7FBE-0190-B03D-B3E8F6D7C687.1780453008729.0.aa10005730011700,2026-06-03T02:16:48.729Z,event,Event event_23,EVENT,1,23,31580261,30736,,"{""data_hex"":"""",""data_offset"":12,""event_id"":23,""event_name"":null}",[]
ios.A86A3216-7FBE-0190-B03D-B3E8F6D7C687.1780453082707.0.aa1c00ab302b0100.frame.0.timeline,ios.A86A3216-7FBE-0190-B03D-B3E8F6D7C687.1780453082707.0.aa1c00ab302b0100.frame.0,ios.A86A3216-7FBE-0190-B03D-B3E8F6D7C687.1780453082707.0.aa1c00ab302b0100,2026-06-03T02:18:02.707Z,event,Event ERROR,EVENT,43,1,31580335,28032,010005020e00000000000000,"{""data_hex"":""010005020e00000000000000"",""data_offset"":12,""event_id"":1,""event_name"":""ERROR""}",[]
ios.A86A3216-7FBE-0190-B03D-B3E8F6D7C687.1780453135388.0.aa1c00ab302f1d00.frame.0.timeline,ios.A86A3216-7FBE-0190-B03D-B3E8F6D7C687.1780453135388.0.aa1c00ab302f1d00.frame.0,ios.A86A3216-7FBE-0190-B03D-B3E8F6D7C687.1780453135388.0.aa1c00ab302f1d00,2026-06-03T02:18:55.388Z,event,Event STRAP_CONDITION_REPORT,EVENT,47,29,31580388,20688,8d03000006006e000b000100,"{""data_hex"":""8d03000006006e000b000100"",""data_offset"":12,""event_id"":29,""event_name"":""STRAP_CONDITION_REPORT""}",[]
ios.A86A3216-7FBE-0190-B03D-B3E8F6D7C687.1780453311427.0.aa2400fa30350300.frame.0.timeline,ios.A86A3216-7FBE-0190-B03D-B3E8F6D7C687.1780453311427.0.aa2400fa30350300.frame.0,ios.A86A3216-7FBE-0190-B03D-B3E8F6D7C687.1780453311427.0.aa2400fa30350300,2026-06-03T02:21:51.427Z,event,Event BATTERY_LEVEL,EVENT,53,3,31580564,18784,026c0000006d0e00000000280c00000402000000,"{""data_hex"":""026c0000006d0e00000000280c00000402000000"",""data_offset"":12,""event_id"":3,""event_name"":""BATTERY_LEVEL""}",[]
ios.A86A3216-7FBE-0190-B03D-B3E8F6D7C687.1780453311547.0.aa2c005230363f00.frame.0.timeline,ios.A86A3216-7FBE-0190-B03D-B3E8F6D7C687.1780453311547.0.aa2c005230363f00.frame.0,ios.A86A3216-7FBE-0190-B03D-B3E8F6D7C687.1780453311547.0.aa2c005230363f00,2026-06-03T02:21:51.547Z,event,Event EXTENDED_BATTERY_INFORMATION,EVENT,54,63,31580564,18792,0139f94cff6d0e0d010200f200e803280c0000040200001a00000000,"{""data_hex"":""0139f94cff6d0e0d010200f200e803280c0000040200001a00000000"",""data_offset"":12,""event_id"":63,""event_name"":""EXTENDED_BATTERY_INFORMATION""}",[]
ios.A86A3216-7FBE-0190-B03D-B3E8F6D7C687.1780453645088.0.aa10005730421500.frame.0.timeline,ios.A86A3216-7FBE-0190-B03D-B3E8F6D7C687.1780453645088.0.aa10005730421500.frame.0,ios.A86A3216-7FBE-0190-B03D-B3E8F6D7C687.1780453645088.0.aa10005730421500,2026-06-03T02:27:25.088Z,event,Event event_21,EVENT,66,21,31580898,10392,,"{""data_hex"":"""",""data_offset"":12,""event_id"":21,""event_name"":null}",[]
ios.A86A3216-7FBE-0190-B03D-B3E8F6D7C687.1780453674429.0.aa2400fa30490300.frame.0.timeline,ios.A86A3216-7FBE-0190-B03D-B3E8F6D7C687.1780453674429.0.aa2400fa30490300.frame.0,ios.A86A3216-7FBE-0190-B03D-B3E8F6D7C687.1780453674429.0.aa2400fa30490300,2026-06-03T02:27:54.429Z,event,Event BATTERY_LEVEL,EVENT,73,3,31580927,20344,0273000000a30e000001011a0d00000402000000,"{""data_hex"":""0273000000a30e000001011a0d00000402000000"",""data_offset"":12,""event_id"":3,""event_name"":""BATTERY_LEVEL""}",[]
ios.A86A3216-7FBE-0190-B03D-B3E8F6D7C687.1780453734429.0.aa2400fa309f0300.frame.0.timeline,ios.A86A3216-7FBE-0190-B03D-B3E8F6D7C687.1780453734429.0.aa2400fa309f0300.frame.0,ios.A86A3216-7FBE-0190-B03D-B3E8F6D7C687.1780453734429.0.aa2400fa309f0300,2026-06-03T02:28:54.429Z,event,Event BATTERY_LEVEL,EVENT,159,3,31580987,20320,027b000000a80e000001010c0e00000302000000,"{""data_hex"":""027b000000a80e000001010c0e00000302000000"",""data_offset"":12,""event_id"":3,""event_name"":""BATTERY_LEVEL""}",[]
ios.A86A3216-7FBE-0190-B03D-B3E8F6D7C687.1780453737429.0.aa1c00ab30a41d00.frame.0.timeline,ios.A86A3216-7FBE-0190-B03D-B3E8F6D7C687.1780453737429.0.aa1c00ab30a41d00.frame.0,ios.A86A3216-7FBE-0190-B03D-B3E8F6D7C687.1780453737429.0.aa1c00ab30a41d00,2026-06-03T02:28:57.429Z,event,Event STRAP_CONDITION_REPORT,EVENT,164,29,31580990,21592,9c03000007007b000b010100,"{""data_hex"":""9c03000007007b000b010100"",""data_offset"":12,""event_id"":29,""event_name"":""STRAP_CONDITION_REPORT""}",[]
ios.A86A3216-7FBE-0190-B03D-B3E8F6D7C687.1780453794430.0.aa2400fa30ad0300.frame.0.timeline,ios.A86A3216-7FBE-0190-B03D-B3E8F6D7C687.1780453794430.0.aa2400fa30ad0300.frame.0,ios.A86A3216-7FBE-0190-B03D-B3E8F6D7C687.1780453794430.0.aa2400fa30ad0300,2026-06-03T02:29:54.430Z,event,Event BATTERY_LEVEL,EVENT,173,3,31581047,20472,0283000000b50e000001013a0e00000202000000,"{""data_hex"":""0283000000b50e000001013a0e00000202000000"",""data_offset"":12,""event_id"":3,""event_name"":""BATTERY_LEVEL""}",[]
